Home,Away,HG,AG,HAP,AAP,HLP,ALP,HAG,AAG,HAAG,AAAG
Brighton,Tottenham,1,2,1.0,1.8,5,9,1.4,2.0,1.8,1.2
Burnley,Bournemouth,4,0,0.2,2.0,1,10,0.6,2.0,2.0,1.4
Cardiff,Man City,0,5,0.4,2.6,2,13,0.6,2.8,1.8,0.6
Crystal Palace,Newcastle,0,0,1.2,0.2,6,1,0.8,0.8,1.2,1.6
Fulham,Watford,1,1,0.8,2.4,4,12,1.4,2.0,2.4,1.0
Leicester,Huddersfield,3,1,1.2,0.4,6,2,1.6,0.4,1.8,2.2
Liverpool,Southampton,3,0,3.0,1.0,15,5,2.2,1.2,0.4,1.2
Man United,Wolves,1,1,1.8,1.6,9,8,1.6,1.0,1.6,1.0
Arsenal,Everton,2,0,1.8,1.2,9,6,2.0,1.6,1.8,1.8
West Ham,Chelsea,0,0,0.6,3.0,3,15,1.0,2.8,2.2,0.8
Arsenal,Watford,2,0,2.0,2.167,12,10,2.0,1.833,1.5,1.0
Chelsea,Liverpool,1,1,2.667,3.0,13,15,2.333,2.333,0.667,0.333
Everton,Fulham,3,0,1.0,0.833,5,5,1.333,1.333,1.833,2.167
Huddersfield,Tottenham,0,2,0.333,2.0,2,9,0.5,2.0,2.333,1.167
Man City,Brighton,2,0,2.667,0.833,13,5,3.167,1.333,0.5,1.833
Newcastle,Leicester,0,2,0.333,1.5,2,9,0.667,1.833,1.333,1.667
West Ham,Man United,3,1,0.667,1.667,4,7,0.833,1.5,1.833,1.5
Wolves,Southampton,2,0,1.5,0.833,8,4,1.0,1.0,1.0,1.5
Cardiff,Burnley,1,2,0.333,0.667,2,3,0.5,1.167,2.333,1.667
Bournemouth,Crystal Palace,2,1,1.667,1.167,7,4,1.667,0.667,1.833,1.0
Brighton,West Ham,1,0,0.714,1.0,2,7,1.143,1.143,1.857,1.714
Burnley,Huddersfield,1,1,1.0,0.286,6,2,1.286,0.429,1.571,2.286
Crystal Palace,Wolves,0,1,1.0,1.714,4,11,0.714,1.143,1.143,0.857
Leicester,Everton,1,2,1.714,1.286,9,5,1.857,1.571,1.429,1.571
Man United,Newcastle,3,2,1.429,0.286,7,1,1.429,0.571,1.714,1.429
Tottenham,Cardiff,1,0,2.143,0.286,9,1,2.0,0.571,1.0,2.286
Watford,Bournemouth,0,4,1.857,1.857,7,7,1.571,1.714,1.143,1.714
Fulham,Arsenal,1,5,0.714,2.143,5,15,1.143,2.0,2.286,1.286
Liverpool,Man City,0,0,2.714,2.714,13,13,2.143,3.0,0.429,0.429
Southampton,Chelsea,0,3,0.714,2.429,4,11,0.857,2.143,1.571,0.714
Bournemouth,Southampton,0,0,2.0,0.625,9,4,2.0,0.75,1.5,1.75
Cardiff,Fulham,4,2,0.25,0.625,0,2,0.5,1.125,2.125,2.625
Chelsea,Man United,2,2,2.5,1.625,11,10,2.25,1.625,0.625,1.75
Huddersfield,Liverpool,0,1,0.375,2.5,2,11,0.5,1.875,2.125,0.375
Man City,Burnley,5,0,2.5,1.0,13,7,2.625,1.25,0.375,1.5
Newcastle,Brighton,0,1,0.25,1.0,1,5,0.75,1.125,1.625,1.625
West Ham,Tottenham,0,1,0.875,2.25,7,9,1.0,1.875,1.625,0.875
Wolves,Watford,0,2,1.875,1.625,13,4,1.125,1.375,0.75,1.5
Everton,Crystal Palace,2,0,1.5,0.875,7,4,1.625,0.625,1.5,1.125
Arsenal,Leicester,3,1,2.25,1.5,15,6,2.375,1.75,1.25,1.5
Brighton,Wolves,1,0,1.222,1.667,7,10,1.111,1.0,1.444,0.889
